height,d13C
1534.32,7.44
1534.6,8.13
1534.7,7.18
1535.34,7.47
1535.9,7.07
1538.2,7.39
1538.8,7.83
1539,7.97
1542.16,7.3
1542.5,8
1545.5,8.29
1546.25,7.44
1549.4,8.29
1551.8,6.84
1554.9,8.29
1556.13,6.99
1556.9,7.85
1558.8,7.86
1561.1,7.33
1561.25,8.57
1564.7,6.16
1567.7,7.87
1570.34,8.38
1571.4,8.22
1571.9,7.58
1574.4,7.12
1575.3,6.67
1575.6,8.63
1576.8,8.06
1577.7,8.41
1578.63,6.01
1580.8,7.5
1582.4,8.23
1583.17,8.38
1583.9,6.74
1586.8,8.35
1587.72,8.02
1588.4,7.16
1590.3,7.77
1592.4,8.87
1592.4,8
1593.06,7.73
1595.4,6.4
1596.9,7.5
1597.9,6.22
1599.54,7.7
1601.7,4.6
1601.7,7.49
1602.38,7.16
1603.2,6.1
1606.2,5.79
1606.3,5.78
1606.58,8.19
1607.6,4.61
1609.2,3.72
1612.1,4.55
1612.2,5.44
1614.88,8.19
1615.3,6.15
1618.3,4.96
1621.2,5.32
1621.4,4.9
1624.99,5.85
1626.9,4.31
1628.2,5.36
1630.1,5.56
1635.56,8.25
1640.2,5.42
1643.62,7.79
1644.1,6.56
1650.44,6.29
1653.5,2.33
1655.89,6.24
1658,4.7
1662.94,6.16
1665.8,2.41
1668.85,6.87
1670,2.29
1671.2,2.2
1671.9,2.36
1676.7,4.82
1678.39,7.62
1681.5,4.31
1683.5,4.9
1685.7,4.89
1690.89,5.98
1691.2,5.84
1696.1,4.07
1697.71,6.77
1699.7,6.01
1705.55,7.21
1706.4,5.51
1708.6,6.33
1709.16,7.22
1710.5,6.67
1715.4,7.13
1715.43,7
1717.66,7.51
1719.4,6.71
1725.39,7.2
1728.9,7.24
1730.55,7.5
1731,7.01
1734.27,7.34
1734.9,6.45
1738.73,7.29
1739.3,7.32
1742.6,5.86
1743.55,8.04
1745.9,6.96
1749.9,4.74
1750.81,7.49
1753.16,8.51
1754.5,6.74
1757.1,5.54
1759.6,5.78
1761.32,7.02
1762.47,7.62
1764.2,6.49
1767.1,6.98
1768.5,7.12
1768.72,8.85
1776.62,8.14
1777,7.55
1777.25,7.65
1780.6,7.88
1782.88,7.23
1786.5,6.94
1791.2,7.27
1791.45,8.16
1795.65,7.97
1798,7.8
1800.19,7.01
1801.7,8.27
1804.63,8.62
1805.7,8.59
1808.45,7.9
1808.5,7.88
1811.7,6.57
1814.1,8.93
1816.1,8.16
1818.9,8.63
1819.27,7.99
1820.2,7.8
1823.6,9.22
1824.76,8.93
1828.1,7.65
1831.67,8.55
1831.9,8.2
1834.1,8.91
1834.8,7.6
1837.1,9.46
1840.1,7.69
1842.07,6.42
1843.1,8.11
1845.9,9.15
1846.1,8.68
1849.1,8.66
1849.41,8.2
1852.1,8.82
1854.51,7.99
1855.1,7.4
1858.1,9.12
1860.77,8.7
1861.1,8.71
1861.56,7.62
1864.1,7.72
1867.1,9.1
1869.35,8.62
1869.9,7.95
1873.1,8.49
1873.68,7.39
1874.2,7.76
1876.1,8.85
1876.92,7.75
1877.01,7.82
1877.3,6.87
1878.2,8.15
1879.1,8.9
1879.51,6.97
1880.6,7.65
1882.1,4.31
1882.22,7.35
1882.6,8.38
1885.1,8.3
1885.19,8.22
1885.3,8.04
1886.2,5.86
1888.1,8.36
1888.82,8.17
1890.53,8.14
1891.4,8.03
1893.4,5.67
1893.47,5.28
1894,5.8
1894.1,8.54
1894.7,5.34
1896.28,6.32
1897.03,6.44
1897.2,5.71
1898.23,7.2
1898.6,8.25
1899.52,2.07
1900.1,5.32
1900.35,1.76
1903.18,7.38
1904.53,7.19
1909.4,7.03
1912.1,7.31
1925.9,6.53
1927.85,7.26
1928.07,4.54
1930.33,6.24
1931.4,4.34
1934.32,4.5
1935.4,3.96
1937.1,2.88
1937.51,6.39
1937.7,3.42
1938.7,5.15
1938.9,3.63
1940.3,6.03
1940.3,3.71
1941.4,3.73
1944.95,4.52
1945.3,3.52
1946.1,4.05
1948.1,5.07
1949.53,5.39
1950.8,4.28
1952.5,4.51
1952.66,5.58
1953.4,3.4
1954.6,4.17
1955,3.36
1955.58,5.38
1955.7,4.66
1956.6,3.4
1956.8,4.64
1957.05,5.77
1957.9,3.62
1958.5,4.86
1958.6,4.19
1958.8,3.84
1958.9,3.67
1959,3.08
1959.4,4.19
1959.5,4.46
1960.16,5.68
1960.22,5.2
1960.4,4.79
1960.5,3.9
1960.9,4.77
1961,4.32
1961,3.3
1961,4.42
1961.1,4.44
1961.6,3.47
1962,5.32
1962.06,4.67
1962.6,5.47
